time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-18T02:57:26.302Z,41.8347,15.4046,10,4.4,mb,,44,0.265,1.16,us,us70008z3f,2020-07-09T14:31:23.040Z,"3 km ENE of Poggio Imperiale, Italy",earthquake,3.5,1.9,0.162,11,reviewed,us,us
2020-01-08T07:50:51.844Z,41.2435,16.2853,10,2.7,ml,,140,0.524,0.38,us,us70006wmg,2020-04-02T21:27:53.040Z,"1 km NW of Andria, Italy",earthquake,1.8,2,0.074,24,reviewed,us,us
2019-09-21T19:55:48.540Z,40.3701,14.9475,299.64,4.7,mb,,37,0.72,0.66,us,us60005ltu,2019-12-10T17:27:01.040Z,"4 km WNW of Agropoli, Italy",earthquake,6,3.3,0.072,59,reviewed,us,us
2018-11-22T07:35:14.710Z,40.3623,13.9879,386.04,4,mb,,83,1.447,0.82,us,us1000hxhn,2019-02-02T20:02:31.040Z,Tyrrhenian Sea,earthquake,6,9,0.143,13,reviewed,us,us
2018-09-18T21:36:43.110Z,40.7951,14.1448,10,2.5,md,,212,0.397,0.77,us,us2000hh0s,2018-11-27T15:51:59.040Z,"2 km SW of Bagnoli, Italy",earthquake,4.4,2,,,reviewed,us,rom
2017-08-21T18:57:51.110Z,40.7832,13.9394,2.65,4.2,mb,,49,0.536,0.93,us,us2000aaae,2020-07-10T16:50:42.052Z,"4 km NNE of Casamicciola Terme, Italy",earthquake,4.1,5.9,0.141,14,reviewed,us,us
2016-01-16T18:55:11.470Z,41.5846,14.6515,5.4,4.4,mwr,,27,0.556,1.36,us,us10004f2x,2020-07-10T14:58:43.715Z,"3 km SSW of Ripalimosani, Italy",earthquake,4.6,4.4,0.045,48,reviewed,us,us
2015-01-01T19:48:04.650Z,41.5109,14.3239,318.14,4.2,mb,,53,0.513,0.68,us,usc000tb6q,2015-03-27T07:01:05.040Z,"2 km NW of Roccamandolfi, Italy",earthquake,6.5,7.2,0.215,6,reviewed,us,us
2014-12-24T11:40:10.990Z,41.698,14.957,17.6,4.4,mb,,,,1.31,us,usc000t9s3,2015-03-17T02:36:56.040Z,"1 km NNW of San Giuliano di Puglia, Italy",earthquake,5.6,4.6,0.139,19,reviewed,rom,us
2014-12-14T14:33:31.850Z,40.4602,15.0133,299.6,4.2,mb,,36,0.663,0.59,us,usc000t6jb,2015-03-04T21:55:03.040Z,"0 km NE of Capaccio Scalo, Italy",earthquake,6.7,5.1,0.044,153,reviewed,us,us
2014-01-22T22:44:10.100Z,40.446,15.105,2,4,mb,,,,0.97,us,usb000m6gj,2014-03-27T18:15:36.000Z,,earthquake,,4.9,0.212,6,reviewed,rom,us
2014-01-20T07:12:40.480Z,41.362,14.449,11.1,4.5,mb,,,,1,us,usb000m4ku,2016-12-07T13:32:01.371Z,southern Italy,earthquake,,4.4,0.119,22,reviewed,rom,us
